,cnpj,collected
EBMA - Empresa Brasileira de Meio Ambiente S.A.,01.369.424/0001-90,
Astro Internacional S.A.,05.360.244/0001-07,
Solaris Empreendimentos S.A.,11.522.323/0001-61,
Itau Corretora de Seguros S.A.,43.644.285/0001-06,
GDK S.A.,34.152.199/0001-95,
Serveng-Civilsan S.A. Empresas Associadas de Engenharia,48.540.421/0001-31,
Empresa Brasileira de Correios e Telegrafos,34.028.316/0001-03,
Indra Brasil Solucoes e Servicos Tecnologicos S.A.,01.645.738/0001-79,
Alfa Empreendimentos Imobiliarios S.A.,09.502.948/0001-10,
Fundacao Getulio Vargas,33.641.663/0001-44,
Schahin Engenharia S.A.,61.226.890/0001-49,
Companhia de Saneamento Ambiental do Distrito Federal - CAESB,00.082.024/0001-37,
Telemont Engenharia de Telecomunicacoes S.A.,18.725.804/0001-13,
Infopar Participacoes S.A.,07.807.734/0001-26,
Nova Rio Servicos Gerais Ltda.,29.212.545/0001-43,
Empresa de Tecnologia e Informacoes da Previdencia - Dataprev,42.422.253/0001-01,
RBS Participacoes S.A.,68.737.857/0001-22,
Delta Construcoes S.A.,10.788.628/0001-57,
Companhia Municipal de Limpeza Urbana - Comlurb,42.124.693/0001-74,
Engevix Engenharia e Projetos S.A.,00.103.582/0001-31,
Construcoes e Comercio Camargo Correa S.A.,61.522.512/0001-02,
Toniolo. Busnello S.A. Tuneis. Terraplenagens e Pavimentacoes,89.723.977/0001-40,
Tome Participacoes S.A.,48.131.437/0001-90,
One Properties S.A.,07.875.234/0001-21,
Liq Corp S.A.,67.313.221/0001-90,
Monticiano Participacoes S.A.,09.191.251/0001-75,
MPE S.A. - Participacoes e Administracao,40.318.354/0001-01,
MPE - Participacoes em Agronegocios S.A.,04.743.819/0001-08,
MPE Engenharia e Servicos S.A.,04.743.858/0001-05,
Getnet Tecnologia em Captura e Processamento de Transacoes H.U.A.H. S.A.,05.127.438/0001-59,
Comporte Participacoes S.A.,05.169.726/0001-76,
Rapidao Cometa Logistica e Transporte S.A.,10.970.887/0001-02,
Globo Comunicacao e Participacoes S.A.,27.865.757/0001-02,
Capgemini Brasil,65.599.953/0001-63,
Radio e Televisao Record S.A.,60.628.369/0001-75,
Soares Penido Participacoes e Empreendimentos S.A.,45.083.219/0001-30,
CS Brasil Transportes de Passageiros e Servicos Ambientais Ltda.,10.965.693/0001-00,
Empreendimentos Brasileiros de Mineracao S.A.,34.167.320/0001-52,
UTC Engenharia S.A.,44.023.661/0001-08,
Treelog S.A. - Logistica e Distribuicao,61.438.248/0001-23,
EMSA - Empresa Sul Americana de Montagens S.A.,17.393.547/0001-05,
Goldfarb Incorporacoes e Construcoes S.A.,58.507.286/0001-86,
Rumo Malha Sul S.A.,01.258.944/0001-26,
Rumo Malha Norte S.A.,24.962.466/0001-36,
Rumo Malha Norte S.A.,24.962.466/0001-36,
Rumo Malha Norte S.A.,24.962.466/0001-36,
Construtora OAS S.A.,14.310.577/0001-04,
Vix Logistica S.A.,32.681.371/0001-72,
Odebrecht S.A.,05.144.757/0001-72,
Contax S.A.,02.757.614/0001-48,
OceanAir Linhas Aereas S.A.,02.575.829/0001-48,
Libra Servicos de Navegacao Ltda.,42.581.413/0001-57,
Saga Investimento e Participacoes do Brasil S.A.,02.053.186/0001-72,
Monte Tabor Centro Italo-Brasileiro de Promocao Sanitaria,13.926.639/0001-44,
Aroer SPE Empreendimentos e Participacoes S.A.,10.234.236/0001-46,
THP - Triunfo Holding de Participacoes S.A.,08.411.588/0001-88,
Santo Avito Participacoes S.A.,09.299.954/0001-11,
ZI Participacoes S.A.,03.772.677/0001-36,
Belo Monte Participacoes S.A.,11.669.068/0001-84,
WTorre Engenharia e Construcao S.A.,05.811.812/0001-30,
Almart Administracao e Participacoes S.A.,73.814.311/0001-68,
Companhia de Saneamento Ambiental do Maranhao - Caema,06.274.757/0001-50,
Companhia Espirito Santense de Saneamento - Cesan,28.151.363/0001-47,
CTIS Tecnologia S.A.,01.644.731/0001-32,
Instituto Presbiteriano Mackenzie,60.967.551/0001-50,
Companhia Catarinense de Aguas e Saneamento - Casan,82.508.433/0001-17,
Companhia Catarinense de Aguas e Saneamento - Casan,82.508.433/0001-17,
Essencis Solucoes Ambientais S.A.,40.263.170/0001-83,
Empa S.A. Servicos de Engenharia,17.159.856/0001-07,
Refrigerantes do Noroeste Participacoes S.A.,03.214.780/0001-60,
Isban Brasil S.A.,62.588.793/0001-69,
Saneamento Ambiental Aguas do Brasil S.A.,09.266.129/0001-10,
Queiroz Galvao Desenvolvimento Imobiliario S.A.,11.535.028/0001-40,
Companhia MS de Participacoes,08.704.436/0001-73,
Jereissati Participacoes S.A.,60.543.816/0001-93,
Jereissati Participacoes S.A.,60.543.816/0001-93,
JPSP Investimentos e Participacoes S.A.,53.790.218/0001-53,
CCI Concessoes e Construcoes de Infraestrutura S.A. ,03.460.522/0001-64,
Max Empreendimentos e Participacoes S.A.,76.467.224/0001-70,
Fiesa Ferroeste Industrial do Espirito Santo S.A.,28.492.304/0001-32,
KID Participacoes S.A.,03.360.355/0001-80,
Empresa de Mecanizacao Rural S.A.,17.360.322/0001-44,
OR Empreendimentos Imobiliarios e Participacoes S.A.,10.917.143/0001-16,
Property Brasil S.A.,10.395.731/0001-37,
Luiza Participacoes S.A.,00.835.086/0001-72,
LTD Administracao e Participacoes S.A.,66.117.474/0001-26,
Companhia de Participacoes Alianca da Bahia,01.938.783/0001-11,
Companhia de Participacoes Alianca da Bahia,01.938.783/0001-11,
Unibens Participacoes S.A.,03.360.554/0001-98,
Qualicorp Administradora de Beneficios S.A.,07.658.098/0001-18,
Caberj Integral Saude S.A.,07.844.436/0001-06,
Topmix Engenharia e Tecnologia de Concreto S.A.,02.229.411/0001-89,
BRK Ambiental - Jaceaba S.A.,09.425.611/0001-56,
Vital Engenharia Ambiental S.A.,02.536.066/0001-26,
EIT Empresa Industrial Tecnica S.A.,08.402.620/0001-69,
Irmaos Passaura Locacoes S.A.,11.464.546/0001-10,
Tha Realty Empreendimentos Imobiliarios S.A.,08.445.193/0001-04,
Cobra Tecnologia S.A.,42.318.949/0001-84,
Qualicorp Corretora de Seguros S.A.,07.755.207/0001-15,
Companhia Portuaria Baia de Sepetiba,72.372.998/0001-66,
TJ Participacoes S.A.,10.395.762/0001-98,
Jereissati Participacoes S.A.,10.395.788/0001-36,
J&F Investimentos S.A.,00.350.763/0001-62,
AFECC - Associacao Feminina de Educacao e Combate ao Cancer,28.137.925/0001-06,
Sociedade Beneficente Israelita Brasileira - Hospital Albert Einstein,60.765.823/0001-30,
Centro de Integracao Empresa Escola do Rio Grande do Sul,92.954.957/0001-95,
Engefoto Engenharia e Aerolevantamentos S.A.,76.436.849/0001-74,
Ser Educacional S.A.,04.986.320/0001-13,
Tha Realty Agua Verde Empreendimentos Imobiliarios S.A.,08.466.380/0001-66,
G.C.E. S.A.,05.275.229/0001-52,
A Geradora Aluguel de Maquinas S.A.,33.845.322/0001-90,
Lindencorp Participacoes e Incorporacoes Ltda.,09.040.451/0001-27,
REC Brasilia S.A.,08.771.864/0001-19,
Central de Tratamento de Residuos Nova Iguacu S.A.,07.085.695/0001-09,
M4 Produtos e Servicos S.A.,09.614.276/0001-34,
PGS Investigacao Petrolifera Ltda.,00.877.954/0001-87,
Cavour Restaurante S.A.,55.727.689/0001-42,
Sao Martinho Terras Imobiliarias S.A.,48.663.421/0001-29,
Prodal Saude S.A.,11.943.553/0001-02,
"Cejam - Centro de Estudos e Pesquisas ""Dr. Joao Amorim""",66.518.267/0001-83,
Fundacao Coordenacao de Projetos. Pesquisas e Estudos Tecnologicos Coppetec,72.060.999/0001-75,
Peg Cred Promotora de Vendas e Participacoes S.A.,86.726.452/0001-70,
Riocard Tecnologia da Informacao S.A.,09.127.934/0001-63,
Advanced Investimentos e Participacoes S.A.,09.576.814/0001-43,
Masb Desenvolvimento Imobiliario S.A.,08.717.355/0001-08,
Hope Recursos Humanos S.A.,31.880.164/0001-84,
Cobrapa - Companhia Brasileira de Pavimentacao,10.787.349/0001-79,
Sapore S.A.,67.945.071/0001-38,
Fundacao Jose Carvalho,13.962.766/0001-07,
Rap9 Empreendimentos Imobiliarios S.A.,10.488.618/0001-04,
Fundacao de Assistencia. Estudo e Pesquisa de Uberlandia,25.763.673/0001-24,
DM Empreendimentos Comerciais S.A.,28.410.926/0001-74,
Imobiliaria e Agropecuaria Jereissati S.A.,07.955.032/0001-90,
LSI Administracao e Servicos S.A.,58.034.315/0001-30,
GL Events LE S.A.,05.494.572/0001-98,
LSI Logistica S.A.,04.057.495/0001-46,
Minas Gerais Educacao S.A.,05.648.257/0001-78,
Medicina Diagnostica Mae de Deus Center S.A.,04.552.624/0001-72,
Trelsa Transportes de Especializados de Liquidos S.A.,33.163.858/0001-26,
Fundacao Adib Jatene,53.725.560/0001-70,
Fundacao de Saude Comunitaria de Sinop,32.944.118/0001-64,
Pro-Saude Associacao Beneficente de Assistencia Social e Hospitalar,24.232.886/0001-67,
GSMP S.A.,06.927.386/0001-68,
Auto Ricci S.A.,00.282.862/0001-54,
Porto do Acu Operacoes S.A.,08.807.676/0001-01,
Triplo J&M Administracao e Participacoes S.A.,06.171.865/0001-05,
GSC Administracao e Participacoes S.A.,06.088.101/0001-42,
GSP Participacoes S.A.,11.344.638/0001-66,
A. Costa Empreendimentos e Participacoes S.A.,04.669.744/0001-54,
CIBE Investimentos e Participacoes S.A.,10.405.940/0001-14,
Esli Participacoes S.A.,53.601.423/0001-23,
Arpal Participacoes S.A.,00.279.226/0001-73,
Task Sistemas de Computacao S.A.,28.708.477/0001-45,
Pbtur Hoteis S.A.,09.291.030/0001-79,
Companhia Brasileira de Diques,02.677.174/0001-19,
Walhalatur Viagens e Turismo S.A.,66.822.537/0001-45,
TVSBT Canal 4 de Sao Paulo S.A.,45.039.237/0001-14,
SIT Macae Transportes S.A.,11.889.780/0001-99,
A!Bodytech Participacoes S.A.,07.737.623/0001-90,
Unimed-Rio Cooperativa de Trabalho Medico do Rio de Janeiro Ltda.,42.163.881/0001-01,
Unimed Belo Horizonte Cooperativa de Trabalho Medico,16.513.178/0001-76,
Unimed Curitiba - Sociedade Cooperativa de Medicos,75.055.772/0001-20,
Unimed Campinas Cooperativa de Trabalho Medico,46.124.624/0001-11,
Unimed Porto Alegre Cooperativa Medica Ltda.,87.096.616/0001-96,
Unimed de Fortaleza Cooperativa de Trabalho Medico Ltda.,05.868.278/0001-07,
Unimed Cuiaba - Cooperativa de Trabalho Medico,03.533.726/0001-88,
Unimed Goiania Cooperativa de Trabalho Medico,02.476.067/0001-22,
Prevent Senior Private Operadora de Saude Ltda.,00.461.479/0001-63,
Unimed do Estado de Santa Catarina Federacao Estadual das Cooperativas Medicas,76.590.884/0001-43,
Unimed Sao Jose do Rio Preto Cooperativa de Trabalho Medico,45.100.138/0001-09,
Unimed de Ribeirao Preto Cooperativa de Trabalho Medico,45.232.246/0001-27,
Centro Trasmontano de Sao Paulo,62.638.374/0001-94,
Unimed Sao Jose dos Campos Cooperativa de Trabalho Medico,60.214.517/0001-05,
Excelsior Med S.A.,03.517.055/0001-61,
Casa de Saude Sao Bernardo S.A.,31.488.208/0001-25,
Unimed de Piracicaba Sociedade Cooperativa de Servicos Medicos,44.803.922/0001-02,
OPS Planos de Saude S.A.,04.288.864/0001-01,
Unimed de Volta Redonda Cooperativa de Trabalho Medico,35.917.970/0001-30,
Vitallis Saude S.A.,01.045.690/0001-68,
Memorial Saude Ltda.,02.902.680/0001-64,
Crusam Cruzeiro do Sul Servico de Assistencia Medica S.A.,45.646.726/0001-34,
Agemed Saude S.A.,02.933.220/0001-01,
Hospital Novo Atibaia S.A.,52.956.901/0001-55,
Sao Lucas Saude S.A.,96.509.690/0001-88,
Serpram - Servico de Prestacao de Assistencia Medico - Hospitalar S.A.,25.658.691/0001-46,
Sul America Odontologico S.A.,11.973.134/0001-05,
Rede Dental Operadora de Planos Odontologicos Ltda.,38.743.266/0001-05,
Prontoclinica e Hospitais Sao Lucas S.A.,22.666.341/0001-33,
Alianca Administradora de Beneficios de Saude S.A.,08.407.581/0001-92,
H.B. Saude S.A.,02.668.512/0001-56,
Fundacao Democrito Rocha,07.663.719/0001-51,
Viacao Itapemirim S.A.,27.175.975/0001-07,
Empresa Cinemas Sao Luiz S.A.,33.497.660/0001-89,
Porto Seguro Companhia de Seguros Gerais,61.198.164/0001-60,
Instituto de Medicina Integral Professor Fernando Figueira - IMIP ,10.988.301/0001-29,
Casa de Saude Santa Marcelina Hospital Itaquera,60.742.616/0001-60,
CR Almeida S.A. - Engenharia e Construcoes,33.317.249/0001-84,
Primav Construcoes e Comercio S.A.,81.110.124/0001-21,
Smiles Fidelidade S.A.,05.730.375/0001-20,
Melnick Even Incorporacoes e Construcoes S.A.,09.284.610/0001-39,
Libra Terminal Rio S.A. ,02.373.517/0001-51,
Aspeur - Associacao Pro-Ensino Superior em Novo Hamburgo,91.693.531/0001-62,
Votorantim Investimentos Latino-Americanos S.A. ,06.276.938/0001-15,
Cone S.A. ,11.860.795/0001-24,
Evaux Participacoes S.A.,02.699.849/0001-20,
Enesa Engenharia S.A.,48.785.828/0001-29,
Mercado Eletronico S.A. ,00.117.351/0001-87,
WTorre S.A.,07.022.301/0001-65,
CTC - Centro de Tecnologia Canavieira S.A. ,06.981.381/0001-13,
Tegra Incorporadora S.A.,07.700.557/0001-84,
Localiza Rent a Car S.A.,16.670.085/0001-55,
BNDES Participacoes S.A.- BNDESPar,00.383.281/0001-09,
Anhanguera Educacional Participacoes S.A.,04.310.392/0001-46,
Iguatemi Empresa de Shopping Centers S.A.,51.218.147/0001-93,
CEL Participacoes S.A. - Celpar,02.201.787/0001-85,
Eletron S.A.,00.514.998/0001-42,
Betapart Participacoes S.A.,02.762.124/0001-30,
Ligafutebol S.A.,02.217.325/0001-56,
Telecomunicacoes Brasileiras S.A. - Telebras,00.336.701/0001-04,
Telecomunicacoes Brasileiras S.A. - Telebras,00.336.701/0001-04,
Laep Investments Ltd.,08.904.552/0001-36,
521 Participacoes S.A.,01.547.749/0001-16,
Capitalpart Participacoes S.A.,02.591.787/0001-39,
Alium Participacoes S.A.,02.783.425/0001-40,
Industrias J.B. Duarte S.A.,60.637.238/0001-54,
Industrias J.B. Duarte S.A.,60.637.238/0001-54,
Sudeste S.A.,02.062.747/0001-08,
Prompt Participacoes S.A.,02.992.449/0001-09,
FAE Administracao e Participacoes S.A.,09.337.210/0001-44,
CR2 Empreendimentos Imobiliarios S.A.,07.820.907/0001-46,
Selectpart Participacoes S.A.,02.604.860/0001-60,
Berna Participacoes S.A.,09.400.937/0001-29,
DUXXI Imobiliaria S.A.,10.382.341/0001-22,
GTD Participacoes S.A.,00.649.881/0001-76,
Tele Norte Celular Participacoes S.A.,02.558.154/0001-29,
Industria Verolme S.A. - Ivesa,28.500.320/0001-20,
Embratel Participacoes S.A.,02.558.124/0001-12,
Companhia de Agua e Esgoto do Ceara,07.040.108/0001-57,
BRT Holding 1 S.A.,09.462.890/0001-28,
Grucai Participacoes S.A.,01.258.945/0001-70,
Itaitinga Participacoes S.A.,01.258.943/0001-81,
Setiba Participacoes S.A.,08.638.269/0001-00,
Caianda Participacoes S.A.,04.038.763/0001-82,
Cabinda Participacoes S.A.,04.030.182/0001-02,
Caconde Participacoes S.A.,04.031.213/0001-31,
Shopping Center Tacaruna S.A.,00.115.890/0001-87,
Coari Participacoes S.A.,04.030.087/0001-09,
Nova Acao Participacoes S.A.,04.634.250/0001-34,
Gama Participacoes S.A.,02.796.775/0001-40,
Alef S.A.,02.217.319/0001-07,
Concessionaria da Rodovia Osorio Porto Alegre S.A. - Concepa,01.654.604/0001-14,
Opportunity Energia e Participacoes S.A.,02.318.346/0001-68,
CIMS S.A.,00.272.185/0001-93,
CIMS S.A.,00.272.185/0001-93,
Dinamica Energia S.A.,07.659.538/0001-51,
Parcom Participacoes S.A.,00.185.475/0001-08,
Belapart S.A.,01.608.571/0001-76,
Longdis S.A.,02.338.534/0001-58,
Centennial Asset Participacoes Acu S.A.,08.835.366/0001-92,
EBX Brasil S.A.,10.847.761/0001-37,
RET Participacoes S.A.,02.363.917/0001-86,
Telinvest S.A.,02.476.710/0001-18,
Invitel Legacy S.A.,10.242.478/0001-81,
Investimentos e Participacoes em Infraestrutura S.A. - Invepar,03.758.318/0001-24,
Investimentos e Participacoes em Infraestrutura S.A. - Invepar,03.758.318/0001-24,
Futuretel S.A.,02.465.783/0001-04,
Ropasc Participacoes S.A.,11.995.745/0001-54,
Hoteis e Turismo da Guanabara S.A.,33.858.168/0001-91,
Providax Participacoes S.A.,12.498.904/0001-78,
Vostok Participacoes S.A.,12.499.618/0001-27,
Companhia de Recuperacao Secundaria,04.652.792/0001-30,
Wilson Sons Limited,05.721.735/0001-28,
Andrade Gutierrez Concessoes S.A.,03.601.314/0001-38,
FG Trust S.A.,02.312.666/0001-00,
Cemepe Investimentos S.A.,93.828.986/0001-73,
Cemepe Investimentos S.A.,93.828.986/0001-73,
Cervejasonline Participacoes S.A.,11.818.783/0001-31,
Rioest Estacionamentos S.A.,03.392.498/0001-73,
Atom Empreendimentos e Participacoes S.A.,00.359.742/0001-08,
Banrisul Armazens Gerais S.A.,92.721.232/0001-57,
Companhia Docas de Imbituba,84.208.123/0001-02,
Construtora Adolpho Lindenberg S.A.,61.022.042/0001-18,
Construtora Adolpho Lindenberg S.A.,61.022.042/0001-18,
Construtora Beter S.A.,61.192.373/0001-04,
Aqua-Rio S.A.,11.197.023/0001-54,
Zain Participacoes S.A.,02.363.918/0001-20,
Mendes Junior Engenharia S.A.,17.162.082/0001-73,
Mendes Junior Engenharia S.A.,17.162.082/0001-73,
Mendes Junior Engenharia S.A.,17.162.082/0001-73,
WTC Amazonas Suite Hotel S.A.,01.319.044/0001-41,
WTC Rio Empreendimentos e Participacoes S.A.,01.989.044/0001-59,
Maori S.A.,02.535.295/0001-26,
LF TEL S.A.,02.390.206/0001-09,
Comercial Quintella Comercio e Exportacao S.A.,00.994.533/0001-36,
Saneamento de Goias S.A.,01.616.929/0001-02,
Andrade Gutierrez Participacoes S.A.,04.031.960/0001-70,
Menfis Participacoes S.A.,12.499.629/0001-07,
Telefonica S.A.,05.721.582/0001-19,
Allis Participacoes S.A.,08.648.295/0001-19,
Ferrovia Centro Atlantica S.A.,00.924.429/0001-75,
AGV Holding S.A.,09.594.796/0001-22,
Sanesalto Saneamento S.A.,02.724.983/0001-34,
Companhia Estadual de Aguas e Esgotos - Cedae,33.352.394/0001-04,
Harpia Omega Participacoes S.A.,13.407.573/0001-86,
TGLT S.A.,14.212.464/0001-76,
Isolux Infrastructure S.A.,13.407.617/0001-78,
Beleza Participacoes S.A.,14.200.618/0001-00,
Hidrovias do Brasil S.A.,12.648.327/0001-53,
Naomi Participacoes S.A.,14.200.586/0001-42,
Nisa Participacoes S.A.,14.200.537/0001-00,
Noah Participacoes S.A.,14.200.699/0001-48,
Brasil Travel Turismo e Participacoes S.A.,13.776.362/0001-10,
Egeu Participacoes S.A.,12.668.792/0001-56,
Patmos Participacoes S.A.,12.668.780/0001-21,
Latam Airlines Group S.A.,33.937.681/0001-78,
Seabras Servicos de Petroleo S.A.,14.042.551/0001-22,
PPLA Participations Ltd.,15.073.274/0001-88,
TNT Mercurio Cargas e Encomendas Expressas S.A. ,95.591.723/0001-19,
Irmandade da Santa Casa de Misericordia de Sao Paulo,62.779.145/0001-90,
Odebrecht Participacoes e Investimentos S.A. ,07.668.258/0001-00,
Frigol Foods Participacoes S.A.,14.962.356/0001-10,
Lorentzen Empreendimentos S.A.,33.107.533/0001-26,
Santana Administracao e Participacoes S.A. ,58.061.516/0001-26,
Benfica Administracao de Imoveis Proprios S.A.,33.089.053/0001-80,
Uniao Brasileira de Educacao e Assistencia,88.630.413/0001-09,
VLI Multimodal S.A. ,42.276.907/0001-28,
Fonte Nova Negocios e Participacoes S.A. ,08.906.994/0001-11,
Sociedade Campineira de Educacao e Instrucao,46.020.301/0001-88,
Produman Engenharia S.A. ,00.860.705/0001-89,
Predial Bier Ullmann S.A. ,92.698.240/0001-20,
Sociedade Assistencial Bandeirantes,46.543.781/0001-61,
Panair do Brasil S.A.,30.112.437/0001-88,
Securitas Garantias S.A. ,04.113.052/0001-25,
Construtora Paulo Taufik Camasmie S.A. ,60.560.265/0001-76,
Camargo Campos S.A. Engenharia e Comercio,56.992.266/0001-12,
Companhia Pernambucana de Saneamento - Compesa,09.769.035/0001-64,
Arcadis Logos S.A. ,07.939.296/0001-50,
Andrade Gutierrez Engenharia S.A. ,17.262.213/0001-94,
Intercosmetic Holding S.A.,12.610.116/0001-21,
BTG Pactual Holding International S.A. ,12.552.209/0001-47,
BB Mapfre SH1 Participacoes S.A. ,03.095.453/0001-37,
Copsapar Participacoes S.A.,10.613.364/0001-09,
Bradescard Elo Participacoes S.A. ,09.226.818/0001-00,
Allpark Empreendimentos. Participacoes e Servicos S.A. ,60.537.263/0001-66,
Dobreve Participacoes S.A. ,80.983.992/0001-53,
AG Telecom Participacoes S.A. ,03.260.334/0001-92,
Aguassanta Participacoes S.A. ,07.198.897/0001-59,
Destro Participacoes S.A. ,12.612.745/0001-90,
Mapfre Participacoes S.A.,12.264.857/0001-06,
Mitsui Gas e Energia do Brasil Ltda.,34.304.121/0001-49,
Organizacoes Globo Participacoes S.A. ,03.953.638/0001-35,
Globo S.A. ,05.464.113/0001-61,
Real Properties S.A.,10.247.215/0001-65,
PPX Participacoes S.A.,11.425.560/0001-04,
Aegea Saneamento e Participacoes S.A. ,08.827.501/0001-58,
Ativos Brasileiros S.A.,13.720.918/0001-57,
Ekoparking S.A.,12.610.097/0001-33,
Play Beverage South America S.A.,12.610.072/0001-30,
Adecco Recursos Humanos S.A. ,35.918.663/0001-74,
Almeida Junior Shopping Centers S.A. ,82.120.676/0001-83,
BSP Empreendimentos Imobiliarios S.A. ,14.312.353/0001-31,
Oi Internet S.A. ,03.368.522/0001-39,
Brookfield Brasil Ltda.,34.268.326/0001-16,
Brookfield Brasil Shopping Centers Participacoes S.A. ,11.573.403/0001-46,
Metalurgica Bitury Participacoes S.A. ,09.815.671/0001-85,
Chemtech Servicos de Engenharia e Software Ltda.,30.127.872/0001-86,
Brasbunker Participacoes S.A. ,04.931.019/0001-02,
Amazonia Energia Participacoes S.A. ,13.944.564/0001-24,
Novo Rumo Logistica S.A. ,09.600.513/0001-08,
Niblak Participacoes S.A. ,04.047.019/0001-44,
Oliveira Trust Participacoes S.A. ,05.310.054/0001-77,
Ybacoby Participacoes e Administracoes S.A. ,03.571.558/0001-15,
UOL Diveo S.A.  ,01.588.770/0001-60,
Manserv Montagem e Manutencao S.A. ,54.183.587/0001-40,
